Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 2.028483e+09
Size, Fill, Copy, AXPY, DOT, Uncertainty
30, 11166.095630, 22858.546386, 35552.548013, 17307.016993, 4.9%
35, 13601.891781, 27752.549961, 41609.652741, 15579.522755, 5.1%
40, 12611.532397, 25365.891959, 39464.819397, 15597.760264, 4.1%
47, 13776.316218, 27781.707190, 42053.893170, 16501.244589, 3.8%
55, 13675.633571, 27684.962898, 41581.694236, 16456.525894, 3.3%
63, 13721.358928, 27746.363632, 41280.411771, 16349.748718, 2.9%
74, 12456.655332, 25679.619295, 36873.026943, 16460.671340, 2.2%
85, 14040.097908, 26888.988339, 36947.722605, 15701.935157, 2.2%
99, 15565.796903, 28844.641474, 38165.041277, 15729.585788, 2.1%
115, 16743.997349, 29767.648091, 38640.698655, 15397.966169, 1.9%
134, 15273.632961, 27427.237453, 34538.248869, 13621.966194, 1.5%
155, 17983.145961, 29792.034646, 34849.035162, 14246.956805, 1.5%
180, 19568.752099, 32689.721805, 38563.803117, 14996.940414, 1.4%
209, 22039.172058, 33988.698195, 39748.738276, 14760.705258, 1.4%
243, 23604.770116, 35629.531491, 40961.281491, 14934.318274, 1.3%
282, 22137.609936, 33786.878825, 36953.477812, 14277.164629, 1.0%
327, 26684.734667, 37617.585573, 41917.765229, 14910.663143, 1.1%
380, 24909.289848, 35894.936918, 38935.955815, 14481.996872, 0.9%
441, 28173.696974, 38733.849904, 41341.658768, 14661.491425, 0.8%
513, 28998.460599, 39282.685022, 41693.201082, 14748.464763, 0.7%
595, 28175.206208, 37720.979915, 39606.060976, 14073.605668, 0.6%
691, 28347.048634, 37732.115815, 39511.650332, 14030.920602, 0.5%
802, 30844.982930, 40828.274778, 42381.462138, 14781.699597, 0.5%
932, 32556.078795, 41776.253602, 43358.182474, 14973.837255, 0.5%
1082, 32387.005462, 41483.717669, 42526.400307, 14700.669453, 0.4%
1256, 33651.217371, 42177.151488, 43203.563064, 14834.686820, 0.4%
1458, 34344.817412, 42845.106569, 43940.737040, 14945.691461, 0.3%
1693, 35127.021051, 42856.550615, 43823.134618, 14894.184345, 0.3%
1966, 35639.972224, 43444.166414, 43904.680779, 14951.231589, 0.2%
2283, 35602.480989, 42215.988908, 43116.868006, 14705.769863, 0.2%
2650, 35595.721484, 41044.960610, 42891.652656, 14714.526005, 0.2%
3077, 36541.545503, 41873.913551, 43363.819786, 14853.555868, 0.2%
3573, 36903.040840, 41968.904933, 43599.258994, 14941.151550, 0.1%
4149, 36488.064551, 41526.837751, 42991.327307, 14698.253238, 0.1%
4817, 27029.202560, 42032.590555, 43113.305753, 14877.524642, 0.1%
5593, 26825.819246, 41313.696039, 42319.825554, 14815.201014, 0.1%
6494, 26900.594503, 41182.139320, 43106.909004, 14849.612868, 0.1%
7541, 26761.144818, 41112.468112, 42470.306753, 14789.677211, 0.0%
8756, 26502.803962, 40264.087002, 42484.566883, 14721.718202, 0.0%
10166, 26726.574781, 40968.928590, 42905.165473, 14799.559360, 0.0%
11804, 26750.398376, 39996.615317, 41841.051208, 14863.230011, 0.0%
13706, 26494.512245, 38249.628370, 40085.493924, 14907.583201, 0.0%
15914, 26088.328281, 36691.009830, 38662.617605, 14637.070836, 0.0%
18478, 25658.901469, 33367.798109, 36584.831522, 14647.564141, 0.0%
21454, 25454.496176, 29404.423689, 34408.371860, 14591.855402, 0.0%
24911, 25396.773299, 28442.465217, 33315.657192, 14660.633857, 0.0%
28924, 22997.110812, 24455.129136, 28561.828614, 13280.874932, 0.0%
33584, 25058.769687, 26804.250323, 31968.212027, 14679.987275, 0.0%
38995, 24707.092044, 26466.423504, 31931.808067, 14923.258099, 0.0%
45277, 24033.411123, 26407.510003, 31712.552535, 14927.060506, 0.0%
52572, 21565.124797, 25452.855069, 31116.452141, 14563.963073, 0.0%
61042, 20661.034538, 25582.420699, 30722.499787, 14532.962548, 0.0%
70876, 17947.403982, 23492.285374, 28466.746039, 13262.563484, 0.0%
82295, 20152.122311, 25652.319320, 31083.427115, 14710.989209, 0.0%
95553, 19882.362914, 24620.008815, 29889.382629, 14378.098218, 0.0%
110947, 19935.449209, 22882.472159, 28915.217439, 14032.822340, 0.0%
128822, 18771.375113, 21383.758031, 27835.725997, 13721.735586, 0.0%
149576, 18492.811476, 19159.854829, 24803.069505, 13074.799878, 0.0%
