Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 2.414249e+09
Size, Fill, Copy, AXPY, DOT, Uncertainty
30, 11493.427590, 23191.611696, 36452.396069, 17666.434376, 5.0%
33, 13825.802142, 28106.838119, 41988.818458, 19302.867518, 5.5%
36, 12099.241324, 24473.669372, 40314.838895, 16460.872136, 4.4%
39, 12892.678018, 25733.250478, 41385.068281, 15832.812879, 4.3%
43, 13032.902925, 26030.525684, 41628.234592, 16377.183882, 4.0%
47, 13067.338444, 25962.872070, 41851.907036, 16425.849561, 3.6%
52, 12545.429643, 25171.951472, 37255.602005, 16678.253619, 3.2%
57, 13224.129623, 26216.060296, 42092.126841, 16742.553123, 3.0%
62, 12745.314901, 23186.501535, 41482.270777, 16673.312976, 2.7%
68, 12913.436663, 23196.883035, 36361.700121, 16609.642499, 2.5%
75, 12971.470354, 25135.861937, 39046.953277, 16992.761513, 2.3%
82, 12459.735183, 24854.991164, 37344.027657, 16248.332911, 2.0%
89, 14181.416437, 26270.569971, 38602.480052, 16142.995460, 2.1%
98, 14205.406691, 26673.037911, 38725.284187, 16157.310406, 1.9%
107, 15941.277850, 27785.964822, 39195.212361, 15865.276556, 2.0%
118, 16202.404827, 28648.494041, 40037.302523, 16102.254577, 1.8%
129, 17768.524447, 29289.942053, 39978.447212, 15658.656369, 1.8%
141, 18594.714877, 30011.720671, 40216.319690, 15542.972766, 1.7%
154, 18457.367726, 30236.591765, 40144.025416, 15465.893814, 1.6%
169, 20359.014228, 31412.406145, 40764.969090, 15386.324331, 1.6%
185, 21839.535412, 32698.050367, 42132.376419, 15738.899770, 1.5%
203, 22801.176301, 33462.267400, 42676.014346, 15807.888624, 1.5%
222, 22481.137116, 33640.388009, 42570.465050, 15702.164842, 1.3%
243, 24418.140446, 34836.507208, 42878.641839, 15570.691198, 1.3%
267, 25302.372916, 35559.588802, 43361.300635, 15635.995021, 1.2%
292, 24868.005508, 36153.014251, 43263.492676, 15564.841512, 1.1%
320, 25745.228856, 35449.543148, 42954.586505, 15379.360688, 1.1%
350, 25871.274408, 35903.887165, 42006.870705, 14963.288133, 1.0%
384, 26610.692848, 36404.096759, 42179.528728, 14940.622558, 0.9%
420, 27433.496899, 37044.001806, 42498.378101, 14990.124192, 0.9%
460, 27817.303189, 37974.853301, 42610.107861, 14934.981692, 0.8%
504, 28269.506589, 37898.081642, 42836.807405, 14928.010603, 0.7%
552, 29298.826973, 37673.285259, 43063.030027, 14973.548200, 0.7%
605, 30731.942706, 37778.673245, 42650.742413, 14786.916483, 0.7%
663, 31263.587866, 38119.990400, 42721.896998, 14792.601437, 0.6%
726, 31196.544516, 38247.780070, 42984.761530, 14842.096787, 0.6%
795, 32383.176614, 38886.615490, 43130.947548, 14819.673388, 0.5%
871, 32976.269312, 39043.779946, 43233.709105, 14832.395484, 0.5%
954, 32481.697321, 39179.080068, 43233.252843, 14804.640492, 0.4%
1044, 32788.350910, 39452.847702, 43221.148506, 14780.191662, 0.4%
1144, 33104.025543, 39531.627213, 43304.185609, 14780.249638, 0.4%
1253, 34139.335655, 39921.936096, 43383.919552, 14782.333204, 0.4%
1372, 33824.972601, 39791.080125, 43217.490459, 14748.982593, 0.3%
1503, 34714.802076, 40180.005668, 43450.937040, 14753.297073, 0.3%
1646, 34554.860338, 40202.151815, 43444.812115, 14761.829308, 0.3%
1803, 35038.814916, 40462.725284, 43453.670263, 14752.178629, 0.3%
1975, 36387.634244, 41922.739554, 44756.944851, 15205.832847, 0.2%
2163, 36599.959120, 41727.737310, 44718.009872, 15169.156000, 0.2%
2370, 36122.312335, 40610.100594, 43539.004827, 14889.961831, 0.2%
2595, 35862.542582, 39268.066632, 42808.576982, 14682.708413, 0.2%
2843, 35925.514760, 39111.286342, 42785.471473, 14699.931294, 0.2%
3114, 35929.884450, 39180.718620, 42655.534265, 14680.002718, 0.2%
3410, 36141.706945, 39293.267713, 42668.963248, 14682.351019, 0.1%
3735, 35916.622111, 39463.676821, 42764.746277, 14699.678969, 0.1%
4091, 36328.986630, 39983.942381, 43071.515836, 14811.658830, 0.1%
4481, 29645.075240, 38287.249158, 42947.056508, 14672.859628, 0.1%
4908, 26563.918647, 39389.616156, 42689.851206, 14698.004138, 0.1%
5376, 26541.012759, 39315.979738, 42692.864666, 14666.409224, 0.1%
5888, 26459.090670, 39506.107071, 42655.733002, 14671.524994, 0.1%
6449, 26516.264424, 39110.339651, 42669.230247, 14680.011784, 0.1%
7064, 26440.051616, 39184.975359, 42720.877475, 14692.369808, 0.0%
7737, 26291.147566, 38848.133140, 42401.128948, 14566.869597, 0.0%
8475, 26310.492093, 39139.123882, 42715.849666, 14664.079237, 0.0%
9282, 26301.042168, 39235.631440, 42713.666048, 14699.236904, 0.0%
10167, 27166.275060, 39004.685695, 44149.917322, 15165.629484, 0.0%
11136, 26722.867792, 38925.088124, 43507.495319, 14981.390617, 0.0%
12197, 26104.118537, 38667.704793, 42651.903461, 14684.128305, 0.0%
13359, 26020.897437, 38426.203447, 42536.117328, 14643.645943, 0.0%
14632, 26001.433239, 38905.819264, 42271.739715, 14597.949747, 0.0%
16027, 26942.515041, 36792.822793, 42849.340682, 15086.680163, 0.0%
17554, 25808.352865, 35255.874400, 40243.240578, 14672.476587, 0.0%
19227, 25789.066561, 34366.920970, 38663.288177, 14640.420995, 0.0%
21059, 25637.407398, 31908.840723, 37161.566933, 14741.782218, 0.0%
23066, 25725.819630, 30053.409107, 36689.181907, 15027.049775, 0.0%
25264, 25760.977045, 28389.322995, 35490.394885, 15113.005831, 0.0%
27672, 24961.348301, 26596.379296, 33520.702003, 14654.609647, 0.0%
30309, 25156.084074, 25454.613917, 32813.516974, 14690.279323, 0.0%
33198, 25455.270178, 25664.125864, 32802.481481, 15073.827257, 0.0%
36361, 25076.266747, 25341.994195, 32490.255897, 15124.248446, 0.0%
39826, 24733.217882, 25294.607738, 32429.007437, 15137.611682, 0.0%
43622, 23751.010993, 24621.151015, 31330.202544, 14640.474906, 0.0%
47779, 22022.123702, 24590.009892, 31272.670615, 14629.754083, 0.0%
52332, 21341.334267, 24692.465853, 31302.430060, 14614.581760, 0.0%
57319, 20774.141988, 24877.349835, 31189.626846, 14603.921949, 0.0%
62782, 20484.837712, 25279.423279, 31749.145036, 14819.413814, 0.0%
68765, 19815.011219, 24949.070021, 31293.732608, 14625.730103, 0.0%
75318, 20205.795212, 25568.503729, 32159.798148, 15053.904867, 0.0%
82495, 19891.274762, 25312.796932, 31704.513180, 14831.627075, 0.0%
90357, 20217.142808, 25659.068643, 32180.298862, 15103.720593, 0.0%
98968, 20216.705595, 25556.277729, 32117.369584, 15108.651416, 0.0%
108399, 20232.168380, 25581.020301, 31915.792278, 15056.972424, 0.0%
118730, 19935.485989, 24209.390921, 30754.762542, 14648.036391, 0.0%
130044, 19683.092812, 23303.207923, 29888.528805, 14294.386248, 0.0%
142437, 19319.265173, 22314.821848, 28872.031638, 13886.891999, 0.0%
156011, 19613.961049, 21772.158798, 27775.939493, 13849.562540, 0.0%
170879, 19506.475555, 20305.071750, 26892.743116, 13342.792360, 0.0%
187163, 19716.676832, 17835.433680, 24597.836780, 13020.476071, 0.0%
204999, 18325.408944, 14607.596843, 21326.761447, 11962.064068, 0.0%
224535, 17608.606253, 13232.457814, 19281.929495, 11624.150366, 0.0%
245933, 16551.879965, 12155.268353, 18117.218652, 11397.958303, 0.0%
269370, 15793.273251, 11385.528699, 16889.241615, 10935.849548, 0.0%
295041, 15235.661135, 10959.706363, 16163.817285, 10697.408379, 0.0%
323157, 13684.100284, 10701.216332, 16097.978082, 10842.857151, 0.0%
353954, 12464.251763, 10297.726399, 15528.178640, 10563.405247, 0.0%
387685, 11881.630658, 10194.331171, 15120.401710, 10388.985800, 0.0%
424630, 11064.089596, 9955.889771, 14835.917134, 10229.645339, 0.0%
465097, 10314.770051, 9988.283415, 14830.817154, 10175.838638, 0.0%
509419, 9612.561919, 9996.449938, 14824.728780, 10137.340990, 0.0%
557966, 9106.301867, 9976.673088, 14809.315133, 10211.865815, 0.0%
611139, 8819.863776, 10031.900780, 15074.455521, 10491.062556, 0.0%
